Besin seciniz	0	0	0	0
Armut	57	15	0.1	0.4
Badem	570	3.7	54.1	18.7
Balık	205	0	12	22
Bezelye	81	14	0.4	5
Bulgur	342	75.87	1.33	12.29
Ceviz	654	14	65	15
Çay	1	0.2	0	0.1
Çilek	32	8	0.3	0.7
Domates	17	3.9	0.2	0.9
Ekmek	256	52.8	0.9	8.1
Elma	52	14	0.2	0.3
Et	251	0	12	23.5
Fasulye	347	63	1.2	21
Fındık	628	17	61	15
Fıstık	567	16	49	26
Havuç	41	10	0.2	0.9
Hindi	188	0.1	7	26
Ispanak	23	3.63	0.39	2.86
Kahve	7	0.06	0.52	0.42
Kaju	553	30	44	18
Karnabahar	24	5	0.3	1.9
Karpuz	30	8	0.2	0.6
Kavun	33	8	0.2	0.8
Kepekliekmek	300	42.5	1.6	6.1
Kola	61	10.85	0	0
Lahana	24	6	0.1	1.3
Marul	14	2.9	0.2	1.4
Meyvesuyu	50	12.1	0	0.8
Muz	88	23	0.3	1.1
Nohut	364	61	6	19
Peynir	402	1.3	33	25
Pirinç	360	79.34	0.58	6.61
Pırasa	60	14	0.3	1.5
Salatalık	15	3.63	0.11	0.65
Süt	42	5	1	3.4
Tavuk	239	0	14	22.5
Tereyağı	716	0.1	81	0.9
Üzüm	66	17	0.4	0.6
Yağ	884	0	100	0	
Yulaf	370	67	6.30	16
Yumurta	154	0.7	11.2	12.9
Zeytin	115	6	11	0.8
Zeytinyağı	884	0	100	0
